id,question,answer,explanation,unit
1,폴리머는 단량체나 저분자 화합물이 공유결합으로 반복 연결된 고분자이다.,O,"[폴리머 재료의 기초 1P] 서술은 맞다. 폴리머는 단량체나 저분자 화합물이 공유결합으로 반복 연결된 고분자이다. 특히 단량체·저분자와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다. 용어 자체를 묻는 문제처럼 보여도, 실제로는 정의에 들어가는 구성 요소를 하나라도 바꾸면 바로 오답이 된다.",폴리머 재료의 기초
2,분자량이 500 이상이면 치과재료학에서 macromolecule로 분류된다.,X,"[폴리머 재료의 기초 1P] 서술은 틀렸다. 틀린 지점은 'macromolecule 기준 분자량'이다. 올바르게는 분자량이 5,000 이상인 분자는 macromolecule로 분류된다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다.",폴리머 재료의 기초
3,"폴리머의 성질은 사슬 내 공유결합, 거대분자량, 3차원 고차구조의 영향을 받는다.",O,"[폴리머 재료의 기초 1P] 서술은 맞다. 폴리머의 성질은 사슬 내 공유결합, 거대분자량, 3차원 고차구조의 영향을 받는다. 특히 공유결합·분자량·고차구조와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.",폴리머 재료의 기초
4,치과용 폴리머는 의치상용 레진에만 국한되고 인상재나 실란트에는 쓰이지 않는다.,X,"[폴리머 재료의 기초 1P] 서술은 틀렸다. 틀린 지점은 '치과용 폴리머의 적용 범위'이다. 올바르게는 의치상용 레진, 인공치, 수복용 레진, 실란트, 고무인상재, 레진시멘트는 치과용 폴리머 예에 포함된다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다.",폴리머 재료의 기초
5,중합사슬 안의 반복 단위체를 mer라고 한다.,O,"[폴리머 재료의 기초 1P] 서술은 맞다. 중합사슬 안의 반복 단위체를 mer라고 한다. 특히 monomer·initiator와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다. 용어 자체를 묻는 문제처럼 보여도, 실제로는 정의에 들어가는 구성 요소를 하나라도 바꾸면 바로 오답이 된다.",폴리머 재료의 기초
6,치과용 폴리머는 타액에 잘 녹아야 생물학적으로 안정적이다.,X,"[폴리머 재료의 기초 1P] 서술은 틀렸다. 틀린 지점은 '생물학적 요구조건'이다. 올바르게는 치과용 폴리머는 맛, 냄새, 독성이 없어야 하며 타액에 용해되지 않아야 한다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다.",폴리머 재료의 기초
7,"치과용 폴리머는 저작력, 충격, 마모에 견디고 체적안정성과 적절한 강도를 가져야 한다.",O,"[폴리머 재료의 기초 1P] 서술은 맞다. 치과용 폴리머는 저작력, 충격, 마모에 견디고 체적안정성과 적절한 강도를 가져야 한다. 특히 심미성·기계적 성질와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다. 장점과 단점은 함께 출제되기 쉬우며, 장점만 보고 모든 성질이 좋아진다고 일반화하면 안 된다.",폴리머 재료의 기초
8,치과용 폴리머는 성형이 어려울수록 임상에서 더 안정적으로 평가된다.,X,[폴리머 재료의 기초 1P] 서술은 틀렸다. 틀린 지점은 '취급성의 기준'이다. 올바르게는 치과용 폴리머는 혼합과 성형이 쉬우며 중합 과정에서 문제가 없어야 한다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다.,폴리머 재료의 기초
9,치과용 폴리머는 파절 시 보수가 용이하고 경제적이어야 한다.,O,"[폴리머 재료의 기초 1P] 서술은 맞다. 치과용 폴리머는 파절 시 보수가 용이하고 경제적이어야 한다. 특히 보수 용이성와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다. 사용 가능 여부는 성질 하나만이 아니라 취급성, 안정성, 구강 내 조건까지 함께 반영된다.",폴리머 재료의 기초
10,화학적 안정성은 치과용 폴리머의 이상적 성질에서 제외된다.,X,[폴리머 재료의 기초 1P] 서술은 틀렸다. 틀린 지점은 '화학적 안정성 포함 여부'이다. 올바르게는 치과용 폴리머의 이상적 성질에는 화학적 안정성이 포함된다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다.,폴리머 재료의 기초
11,homopolymer는 한 종류의 단량체로 이루어진 중합체이다.,O,"[폴리머 재료의 기초 1P] 서술은 맞다. homopolymer는 한 종류의 단량체로 이루어진 중합체이다. 특히 copolymer와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다. 용어 자체를 묻는 문제처럼 보여도, 실제로는 정의에 들어가는 구성 요소를 하나라도 바꾸면 바로 오답이 된다.",폴리머 재료의 기초
